,sector
SNPS,Information Technology
HOG,Consumer Discretionary
TGT,Consumer Discretionary
JBHT,Industrials
C,Financials
GPN,Information Technology
DOV,Industrials
ITW,Industrials
CL,Consumer Staples
PLD,Real Estate
VMC,Materials
FOX,Consumer Discretionary
EBAY,Information Technology
SYF,Financials
NFLX,Information Technology
MS,Financials
MNST,Consumer Staples
PSX,Energy
FISV,Information Technology
NDAQ,Financials
LB,Consumer Discretionary
FE,Utilities
MRO,Energy
AZO,Consumer Discretionary
FAST,Industrials
ZTS,Health Care
BWA,Consumer Discretionary
OXY,Energy
KORS,Consumer Discretionary
ANTM,Health Care
BLL,Materials
ADI,Information Technology
RF,Financials
TSN,Consumer Staples
GS,Financials
CXO,Energy
M,Consumer Discretionary
UNH,Health Care
RTN,Industrials
HCP,Real Estate
INTU,Information Technology
PPL,Utilities
LLL,Industrials
USB,Financials
HCA,Health Care
NLSN,Industrials
PSA,Real Estate
MAC,Real Estate
AOS,Industrials
UNP,Industrials
PPG,Materials
DLPH,Consumer Discretionary
CME,Financials
CBOE,Financials
PNC,Financials
SYY,Consumer Staples
CINF,Financials
FCX,Materials
DXC,Information Technology
CBS,Consumer Discretionary
ECL,Materials
PX,Materials
SYMC,Information Technology
AIV,Real Estate
CFG,Financials
AVGO,Information Technology
EL,Consumer Staples
BXP,Real Estate
CTL,Telecommunication Services
WFC,Financials
EIX,Utilities
ULTA,Consumer Discretionary
XRX,Information Technology
DG,Consumer Discretionary
AVB,Real Estate
ABC,Health Care
AIG,Financials
FL,Consumer Discretionary
MCK,Health Care
NEM,Materials
PYPL,Information Technology
BAC,Financials
MCHP,Information Technology
EW,Health Care
MMM,Industrials
MTD,Health Care
IRM,Real Estate
AMT,Real Estate
LMT,Industrials
CAH,Health Care
AME,Industrials
HSY,Consumer Staples
URI,Industrials
CERN,Health Care
JNPR,Information Technology
IP,Materials
HP,Energy
CTAS,Industrials
XEC,Energy
CNC,Health Care
WDC,Information Technology
WBA,Consumer Staples
GPC,Consumer Discretionary
MON,Materials
ES,Utilities
LYB,Materials
BF-B,Consumer Staples
DRE,Real Estate
AMG,Financials
OKE,Energy
MPC,Energy
HCN,Real Estate
NVDA,Information Technology
SLG,Real Estate
SWK,Consumer Discretionary
GIS,Consumer Staples
XEL,Utilities
PKI,Health Care
FLIR,Information Technology
ADBE,Information Technology
